정류소명,영문명,시도,구군,동,경도,위도,경유노선수,경유노선
상곡리,Sanggok-ri,대구광역시,군위군,군위읍,128.6054133,36.24787,1,군위1
외량1리,oeryang1ri,대구광역시,군위군,군위읍,128.5448383,36.26108,3,군위2+군위3+급행9-3
외량1리,oeryang1ri,대구광역시,군위군,군위읍,128.54488,36.26126333,3,군위2+군위3+급행9-3
외량3리,oeryang3ri,대구광역시,군위군,군위읍,128.5433867,36.27068167,2,군위3+급행9-3
대흥2리,daeheung2ri,대구광역시,군위군,군위읍,128.53753,36.274,2,군위3+급행9-3
대흥2리,daeheung2ri,대구광역시,군위군,군위읍,128.5376017,36.27409167,2,군위3+급행9-3
대흥리,Daeheung-ri,대구광역시,군위군,군위읍,128.5322,36.278485,2,군위3+급행9-3
대흥리,Daeheung-ri,대구광역시,군위군,군위읍,128.5322733,36.27852,2,군위3+급행9-3
무성2.3리,Museong 2.3-ri,대구광역시,군위군,군위읍,128.5680817,36.190735,11,군위1+군위10+군위11+군위2+군위5+군위6+군위7+군위8+군위9+급행9+급행9-3
무성2.3리,Museong 2.3-ri,대구광역시,군위군,군위읍,128.5685017,36.19008,11,군위1+군위10+군위11+군위2+군위5+군위6+군위7+군위8+군위9+급행9+급행9-3
무성리,Museong-ri,대구광역시,군위군,군위읍,128.564335,36.19461833,9,군위1+군위10+군위11+군위2+군위5+군위6+군위7+군위8+군위9
무성리,Museong-ri,대구광역시,군위군,군위읍,128.5637483,36.19574333,9,군위1+군위10+군위11+군위2+군위5+군위6+군위7+군위8+군위9
금구2리,Geumgu 2-ri,대구광역시,군위군,군위읍,128.5643283,36.20388167,10,군위1+군위10+군위11+군위2+군위5+군위6+군위7+군위9+급행9+급행9-3
수서1리,Suseo1ri,대구광역시,군위군,군위읍,128.5577267,36.21344833,1,군위4
수서1리,Suseo1ri,대구광역시,군위군,군위읍,128.557925,36.21336,1,군위8
금구1리,Geumgu 1-ri,대구광역시,군위군,군위읍,128.566095,36.21765833,11,군위1+군위10+군위11+군위2+군위5+군위6+군위7+군위8+군위9+급행9+급행9-3
군위공용버스터미널,Gunwi Bus Terminal,대구광역시,군위군,군위읍,128.5686033,36.23003,11,군위1+군위10+군위11+군위2+군위3+군위4+군위5+군위6+군위7+군위8+군위9
군위우체국앞,gunwiuchegugap,대구광역시,군위군,군위읍,128.5665067,36.23563833,11,군위1+군위10+군위11+군위2+군위3+군위4+군위5+군위6+군위7+군위8+군위9
군위군 행정복지센터,Gunwi-gun Community Service Center,대구광역시,군위군,군위읍,128.568085,36.24004,11,군위1+군위10+군위11+군위2+군위3+군위4+군위5+군위6+군위7+군위8+군위9
군위군 행정복지센터,Gunwi-gun Community Service Center,대구광역시,군위군,군위읍,128.5682517,36.24006833,11,군위1+군위10+군위11+군위2+군위3+군위4+군위5+군위6+군위7+군위8+군위9
금구1리,Geumgu 1-ri,대구광역시,군위군,군위읍,128.5654067,36.217495,11,군위1+군위10+군위11+군위2+군위5+군위6+군위7+군위8+군위9+급행9+급행9-3
외량3리,oeryang3ri,대구광역시,군위군,군위읍,128.5434667,36.27076667,2,군위3+급행9-3
서부리,Seobu-ri,대구광역시,군위군,군위읍,128.56713,36.24131667,3,군위3+군위4+급행9-3
서부리,Seobu-ri,대구광역시,군위군,군위읍,128.5671067,36.24120833,3,군위2+군위3+군위4
오곡리입구,Ogok-ri,대구광역시,군위군,군위읍,128.57336,36.268415,1,군위2
오곡리마을회관,Ogok-ri,대구광역시,군위군,군위읍,128.5834567,36.2751,1,군위2
오곡리건너편,Ogok-ri,대구광역시,군위군,군위읍,128.5786233,36.27841167,1,군위2
대북1리,daebuk1ri,대구광역시,군위군,군위읍,128.5652117,36.269045,1,군위2
동부사거리,dongbusageori,대구광역시,군위군,군위읍,128.57368,36.236155,1,군위1
동부사거리,dongbusageori,대구광역시,군위군,군위읍,128.573685,36.23626167,1,군위1
상곡리-토일,Sanggok-ri-toil,대구광역시,군위군,군위읍,128.6052833,36.24789333,1,
용대리,Yongdae-ri,대구광역시,군위군,군위읍,128.600855,36.23241,1,군위1
용대리,Yongdae-ri,대구광역시,군위군,군위읍,128.601055,36.23228833,1,군위1
광현3리,gwanghyeon3ri,대구광역시,군위군,군위읍,128.6093317,36.23880667,1,군위1
광현3리,gwanghyeon3ri,대구광역시,군위군,군위읍,128.6094183,36.238725,1,군위1
광현2리,gwanghyeon2ri,대구광역시,군위군,군위읍,128.62152,36.2474,1,군위1
광현2리,gwanghyeon2ri,대구광역시,군위군,군위읍,128.6215417,36.24729167,1,군위1
광현1리,gwanghyeon1ri,대구광역시,군위군,군위읍,128.633325,36.24595167,1,군위1
광현1리,gwanghyeon1ri,대구광역시,군위군,군위읍,128.6333383,36.24606,1,
정3리,jeong3ri,대구광역시,군위군,군위읍,128.5690883,36.25396333,1,군위2
삽령리,Samnyeong-ri,대구광역시,군위군,군위읍,128.5359283,36.26436833,1,군위2
외량리,Oeryang-ri,대구광역시,군위군,군위읍,128.5471883,36.25702167,1,군위3
외량리,Oeryang-ri,대구광역시,군위군,군위읍,128.5472367,36.25709,2,군위2+군위3
내량2리,naeryang2ri,대구광역시,군위군,군위읍,128.53748,36.246685,1,군위2
내량2리,naeryang2ri,대구광역시,군위군,군위읍,128.5335067,36.24791167,1,군위2
내량2리,naeryang2ri,대구광역시,군위군,군위읍,128.534205,36.24957,1,군위2
외량2리,oeryang2ri,대구광역시,군위군,군위읍,128.5350117,36.25132167,1,군위2
외량2리,oeryang2ri,대구광역시,군위군,군위읍,128.534915,36.25249833,1,군위2
외량리,Oeryang-ri,대구광역시,군위군,군위읍,128.5390567,36.25902833,1,군위2
정리,Jeong-ri,대구광역시,군위군,군위읍,128.5602,36.25151,1,군위3
정리,Jeong-ri,대구광역시,군위군,군위읍,128.5600717,36.25148,2,군위2+군위3
정리,Jeong-ri,대구광역시,군위군,군위읍,128.5621867,36.24655667,3,군위2+군위3+급행9-3
정리,Jeong-ri,대구광역시,군위군,군위읍,128.5623,36.24661333,2,군위3+급행9-3
사직1리,sajik1ri,대구광역시,군위군,군위읍,128.55672,36.22960667,1,군위4
사직1리,sajik1ri,대구광역시,군위군,군위읍,128.5568583,36.22960833,1,군위4
사직2리,sajik2ri,대구광역시,군위군,군위읍,128.5554067,36.22504,1,군위4
사직2리,sajik2ri,대구광역시,군위군,군위읍,128.555275,36.22505667,1,군위4
수서1리,Suseo1ri,대구광역시,군위군,군위읍,128.55803,36.21352833,2,군위4+군위8
용대리,Yongdae-ri,대구광역시,군위군,군위읍,128.5982583,36.232455,1,군위1
용대리,Yongdae-ri,대구광역시,군위군,군위읍,128.5983067,36.23235,1,군위1
하곡리-속골,Hagok-ri-sokgol,대구광역시,군위군,군위읍,128.5923783,36.23125333,1,군위1
하곡리-속골,Hagok-ri-sokgol,대구광역시,군위군,군위읍,128.5924283,36.23131833,1,군위1
하곡리-동리,Hagok-ri-dong-ri,대구광역시,군위군,군위읍,128.5839767,36.235995,1,군위1
하곡리-동리,Hagok-ri-dong-ri,대구광역시,군위군,군위읍,128.583955,36.23591333,1,군위1
군위국민체육센터,gunwigungmincheyuksenteo,대구광역시,군위군,군위읍,128.5730317,36.23764833,9,군위1+군위10+군위11+군위2+군위5+군위6+군위7+군위8+군위9
군위국민체육센터,gunwigungmincheyuksenteo,대구광역시,군위군,군위읍,128.5731683,36.23766833,9,군위1+군위10+군위11+군위2+군위5+군위6+군위7+군위8+군위9
군위군청,Gunwi Country Office,대구광역시,군위군,군위읍,128.57245,36.24061667,9,군위1+군위10+군위11+군위2+군위5+군위6+군위7+군위8+군위9
군위중-고등학교,gunwijung-High School,대구광역시,군위군,군위읍,128.5705917,36.244415,1,군위2
대북2리,daebuk2ri,대구광역시,군위군,군위읍,128.5585133,36.25874,1,군위2
